doc_id,n_sentences,n_tokens,n_words,dct,title,n_chars,n_paragraphs,mean_words_per_sentence,n_entities,categories,cache_file
wn-0019,6,142,125,2005-02-13,New Ariane 5 ECA rocket launch a success,806,5,20.83,19,europe|science and technology|south america|space|published|french guiana,wn-0019.spacy
wn-0020,11,254,219,2005-02-20,Starburst across galaxy impacts Earth's ionosphere,1277,7,19.91,15,space|physics|science and technology|earth,wn-0020.spacy
wn-0021,11,264,231,2005-02-23,Dark matter galaxy discovered,1399,8,21.0,24,"europe|university of cardiff|astronomy|united kingdom|dark matter|wales|cardiff, wales|space|physics|science and technology",wn-0021.spacy
wn-0022,28,660,582,2005-03-11,Atlas V rocket launches with Inmarsat satellite,3392,10,20.79,49,published|space|united states|science and technology,wn-0022.spacy
wn-0023,8,181,160,2005-03-13,Bright object falls from sky over northwest United States,916,4,20.0,17,"oregon|north america|california|canada|united states|portland, oregon|british columbia|space|science and technology",wn-0023.spacy
wn-0024,24,604,553,2005-03-17,Mars studies find water,3321,9,23.04,50,europe|european space agency|mars|north america|brown university|united states|published|chemistry|extraterrestrial water|space|nasa|science and technology,wn-0024.spacy
wn-0025,13,326,286,2005-03-19,Cassini discovers Saturn moon atmosphere,1810,7,22.0,46,jet propulsion laboratory|geology|chemistry|published|imperial college london|saturn (planet)|space|physics|science and technology,wn-0025.spacy
wn-0026,10,226,194,2005-03-22,India and Europe team up for moon mission,1227,4,19.4,29,published|space|science and technology|the moon,wn-0026.spacy
wn-0027,13,324,279,2005-03-22,Volunteers endure bed-rest study,1821,8,21.46,31,health|space|published,wn-0027.spacy
wn-0028,23,477,401,2005-03-23,NASA's Spitzer space telescope views alien worlds,2629,12,17.43,55,the astrophysical journal|space|jet propulsion laboratory|science and technology|astronomy,wn-0028.spacy
wn-0029,24,562,496,2005-03-26,Deep Impact cruising for comet crash,2983,10,20.67,43,hubble space telescope|jet propulsion laboratory|north america|comets|space|united states|nasa|published,wn-0029.spacy
wn-0030,16,425,374,2005-03-26,Massive star cluster found in Milky Way,2244,6,23.38,45,european southern observatory|science and technology|south america|chile|space|published|astronomy,wn-0030.spacy
wn-0031,15,335,290,2005-03-28,Space station crew perform successful spacewalk,1819,7,19.33,38,extra-vehicular activity|international space station|science and technology|space|published,wn-0031.spacy
wn-0032,16,402,350,2005-04-02,Telescope takes first image of planet outside our solar system,2079,6,21.88,30,european southern observatory|very large telescope|south america|chile|space|astronomy,wn-0032.spacy
wn-0033,13,408,344,2005-04-04,Voyager space probes face shutdown,2054,7,26.46,45,space|nasa|science and technology,wn-0033.spacy
wn-0034,19,386,330,2005-04-06,Japan announces moon program,1873,9,17.37,34,robotics|the moon|japan|space|science and technology|asia,wn-0034.spacy
wn-0035,14,366,311,2005-04-06,NASA's Mars rovers exceed all expectations,1934,7,22.21,36,cornell university|mars|space|jet propulsion laboratory|nasa|published,wn-0035.spacy
wn-0036,9,254,226,2005-04-06,Space Shuttle Discovery resumes rollout to launch pad,1279,6,25.11,28,florida|space|north america|united states|kennedy space center|international space station|space shuttle discovery|nasa|science and technology,wn-0036.spacy
wn-0037,27,694,593,2005-04-06,Swift mission measures distance to star explosions,3609,11,21.96,86,black holes|swift gamma-ray burst mission|space|pennsylvania state university|nasa|science and technology|university college london,wn-0037.spacy
wn-0038,16,325,279,2005-04-11,NASA announces daily video feed for new Discovery mission,1747,9,17.44,52,europe|baikonur cosmodrome|european space agency|north america|space shuttle discovery|united states|soyuz programme|asia|international space station|russia|kazakhstan|space|roscosmos|nasa,wn-0038.spacy
wn-0039,10,265,230,2005-04-13,NASA rethinks abandoning Hubble,1419,4,23.0,20,space|black holes|north america|hubble space telescope|united states|nasa|published,wn-0039.spacy
wn-0040,10,249,216,2005-04-15,Two astronauts blast off to their new home--International Space Station,1315,6,21.6,35,europe|european space agency|baikonur cosmodrome|north america|united states|soyuz programme|asia|international space station|russia|kazakhstan|space|nasa|science and technology,wn-0040.spacy
wn-0041,19,599,521,2005-04-16,Senate unanimously confirms Michael Griffin as new NASA head,3384,8,27.42,53,international space station|north america|space|united states|nasa|science and technology,wn-0041.spacy
wn-0042,12,284,247,2005-04-17,Russian Soyuz docks with International Space Station for crew change,1559,6,20.58,44,international space station|russia|esa|space|nasa|published|soyuz programme,wn-0042.spacy
wn-0043,13,330,298,2005-04-22,NASA study: warming and snow melt chokes sea life 1000 miles distant,1851,7,22.92,26,arabian sea|published|space|marine science|biology|nasa|science and technology|fish,wn-0043.spacy
wn-0044,19,427,380,2005-04-25,ISS Expedition 10 returns to Earth,2392,7,20.0,64,europe|european space agency|baikonur cosmodrome|north america|united states|italy|soyuz programme|asia|international space station|kazakhstan|russia|space|roscosmos|nasa|science and technology,wn-0044.spacy
wn-0045,12,402,349,2005-04-30,First photo of a planet that orbits another sun,2055,8,29.08,24,europe|astronomy|exoplanets|european southern observatory|south america|chile|space|physics|science and technology,wn-0045.spacy
wn-0046,17,429,381,2005-05-04,New Mars Orbiter arrives for launch,2416,8,22.41,48,mars|north america|mars reconnaissance orbiter|united states|jet propulsion laboratory|published|chemistry|space|nasa|science and technology,wn-0046.spacy
wn-0047,14,347,293,2005-05-04,Romanian student wins NASA Space Settlement Design Contest,1779,4,20.93,45,europe|science and technology|romania|the moon|space|published,wn-0047.spacy
wn-0048,8,211,190,2005-05-04,Twelve more moons of Saturn discovered,1167,3,23.75,31,north america|hawaii|united states|astronomy|saturn (planet)|university of hawai'i|space|jupiter|science and technology,wn-0048.spacy
wn-0049,10,244,213,2005-05-06,Mars Exploration Rover Opportunity gets stuck in a small sand dune,1144,4,21.3,18,cornell university|mars|space|nasa|science and technology,wn-0049.spacy
wn-0050,9,235,202,2005-05-07,"CARTOSAT-I and HAMSAT satellites launched precisely by PSLV-C6, will have longer life",1262,5,22.44,26,published|india|economy and business|space|science and technology|asia,wn-0050.spacy
wn-0051,17,596,522,2005-05-08,Mars rover engineers build test sandbox,2997,6,30.71,37,nasa|mars|north america|united states|jet propulsion laboratory|published|cornell university|space|physics|science and technology,wn-0051.spacy
wn-0052,20,490,432,2005-05-24,Voyager 1 enters heliosheath at edge of solar system,2547,11,21.6,33,published|space|united states|science and technology,wn-0052.spacy
wn-0053,12,303,264,2005-06-02,NASA solar sail passes first major test,1600,4,22.0,16,space|united states|physics|science and technology,wn-0053.spacy
wn-0054,22,479,415,2005-06-06,Mars rover Opportunity successfully escapes sand trap,2434,8,18.86,38,cornell university|mars|space|united states|nasa|science and technology,wn-0054.spacy
wn-0055,15,401,346,2005-06-14,New rocky planet discovered in orbit around nearby star,1968,6,23.07,42,published|space|united states|world|science and technology|astronomy,wn-0055.spacy
wn-0056,10,270,244,2005-06-23,Solar sail craft may have made orbit,1370,6,24.4,21,published|space|science and technology,wn-0056.spacy
wn-0057,27,722,626,2005-07-04,NASA's Deep Impact probe strikes comet successfully,3701,8,23.19,64,european space agency|physics|jet propulsion laboratory|geology|chemistry|stardust mission|rosetta mission|comets|nasa|science and technology,wn-0057.spacy
wn-0058,5,198,168,2005-07-04,Russian astrologist sues NASA for Deep Impact test,1040,5,33.6,16,wackynews|nasa|russia|comets|crime and law|science and technology,wn-0058.spacy
wn-0059,16,391,345,2005-07-13,Shuttle launch called off due to faulty fuel tank sensor,1983,7,21.56,26,north america|space|united states,wn-0059.spacy
wn-0060,9,242,215,2005-07-13,Shuttle launch on schedule despite launch pad accident,1207,5,23.89,22,north america|space|united states,wn-0060.spacy
wn-0061,10,193,165,2005-07-16,Space Shuttle Discovery launch on indefinite hold,922,5,16.5,12,north america|space shuttle discovery|space|united states|nasa,wn-0061.spacy
wn-0062,8,191,172,2005-07-25,Rules may be bent to launch Discovery,988,3,21.5,24,international space station|north america|space shuttle discovery|space|united states|nasa|science and technology,wn-0062.spacy
wn-0063,11,260,227,2005-07-26,Space Shuttle Discovery launches,1368,5,20.64,19,atlantic ocean|florida|space|north america|united states|kennedy space center|space shuttle discovery|nasa|science and technology,wn-0063.spacy
wn-0064,6,215,187,2005-07-27,Crew of Discovery inspect Shuttle for launch damage,1137,4,31.17,10,north america|space shuttle discovery|space|united states|science and technology,wn-0064.spacy
wn-0065,8,251,224,2005-07-28,NASA: Discovery appears safe to return to Earth,1265,6,28.0,20,international space station|north america|space|united states|nasa|science and technology,wn-0065.spacy
wn-0066,47,1141,989,2005-07-30,"Bigger than Pluto, possible 10th planet found",5590,22,21.04,97,spain|europe|north america|united states|world|pluto|kuiper belt|space|science and technology,wn-0066.spacy
wn-0067,13,267,232,2005-08-08,Space Shuttle Discovery STS-114 landing postponed for weather,1364,5,17.85,24,space shuttle discovery|space|united states,wn-0067.spacy
wn-0068,6,165,135,2005-08-09,Space Shuttle Discovery lands safely in California,835,4,22.5,19,space shuttle discovery|space|united states|nasa|science and technology,wn-0068.spacy
wn-0069,10,272,238,2005-08-16,New record time spent in space,1500,3,23.8,24,world records|europe|north america|united states|international space station|russia|space|roscosmos|science and technology,wn-0069.spacy
wn-0070,7,207,182,2005-08-18,Chandra X-Ray Observatory illuminates Supernova 1987A,1115,3,26.0,8,space|physics|north america|hubble space telescope|united states|nasa|science and technology|astronomy,wn-0070.spacy
wn-0071,7,185,163,2005-08-19,Next Shuttle flight delayed to next year; ISS crew begin spacewalk,1022,4,23.29,15,extra-vehicular activity|space|nasa|science and technology,wn-0071.spacy
wn-0072,9,228,199,2005-09-06,"Manned mission to Mars at least 20 years away, easier than first trip to Moon",1114,5,22.11,24,malaysia|neil armstrong|mars|north america|united states|kuala lumpur|asia|apollo program|space|nasa|science and technology,wn-0072.spacy
wn-0073,9,248,220,2005-09-07,Astronomers find changes in Saturn's rings,1322,5,24.44,26,saturn (planet)|space|physics|science and technology|astronomy,wn-0073.spacy
wn-0074,20,503,456,2005-09-09,NASA announces Shuttle delay due to Hurricane Katrina,2752,7,22.8,53,"florida|north america|new orleans disaster|united states|gulf of mexico|mississippi|hurricane season, 2005|space|louisiana|science and technology",wn-0074.spacy
wn-0075,10,246,223,2005-09-13,Volcanic bulge found in Oregon,1283,3,22.3,25,united states geological survey|north america|space|united states|oregon|environment,wn-0075.spacy
wn-0076,15,320,277,2005-09-17,Hubble Space Telescope running on two gyroscopes,1760,6,18.47,36,hubble space telescope|north america|space|united states|nasa|science and technology,wn-0076.spacy
wn-0077,43,684,580,2005-09-19,NASA plans for future moon missions,3408,6,13.49,59,robotics|mars|north america|united states|apollo program|the moon|space|nasa|science and technology,wn-0077.spacy
wn-0078,6,159,139,2005-10-12,China successfully launches Shenzhou VI manned rocket,849,3,23.17,20,mental health|china|space|science and technology|asia,wn-0078.spacy
wn-0079,11,257,221,2005-10-17,Chinese astronauts in Shenzhou VI return safely,1337,9,20.09,36,china|space,wn-0079.spacy
wn-0080,9,185,161,2005-11-09,European Venus probe launched successfully,973,3,17.89,25,europe|european space agency|baikonur cosmodrome|weather|venus|chemistry|soyuz programme|asia|kazakhstan|space|science and technology,wn-0080.spacy
wn-0081,12,244,214,2005-11-12,"Paul McCartney to be ""beamed up"" in first live concert to be broadcast in space",1228,3,17.83,24,international space station|culture and entertainment|music|north america|california|space|united states,wn-0081.spacy
wn-0082,8,191,169,2005-11-13,Ariane 5 rocket launch postponed,965,3,21.12,23,space|science and technology|south america|french guiana,wn-0082.spacy
wn-0083,5,153,142,2005-11-26,Japanese probe snatches first asteroid sample,803,3,28.4,6,japan|space|asia,wn-0083.spacy
wn-0084,14,357,314,2005-11-28,SpaceX scrubs Falcon I rocket launch,1814,5,22.43,27,falcon 1|elon musk|north america|california|space|united states|spacex|science and technology,wn-0084.spacy
wn-0085,20,392,355,2005-12-19,China has extensive plans for space exploration,2139,5,17.75,40,science and technology|china|space|the moon|asia,wn-0085.spacy
wn-0086,9,258,219,2006-01-08,"""Hyperspace drive"" paper gains interest, AIAA award",1460,4,24.33,23,space|united states|physics|science and technology,wn-0086.spacy
wn-0087,14,320,275,2006-01-10,Murdoch's News Corp. Ends Automated Censorship of MySpace,1752,4,19.64,27,myspace|free speech|north america|pornography|united states|internet|youtube,wn-0087.spacy
wn-0088,20,540,472,2006-01-11,Comet Wild samples near home,2709,8,23.6,50,stardust mission|comets|space|united states|nasa,wn-0088.spacy
wn-0089,52,1419,1234,2006-01-11,"Distributed computing to get ""interstellar project""",7267,28,23.73,110,stardust@home|north america|united states|computing|chemistry|astronomy|stardust mission|comets|space|physics|science and technology,wn-0089.spacy
wn-0090,49,874,761,2006-01-11,Exclusive: David Anderson talks about the Stardust@home project,4361,21,15.53,47,world records|stardust@home|united states|astronomy|stardust mission|apollo program|comets|space|science and technology,wn-0090.spacy
wn-0091,25,453,376,2006-01-11,"Stardust comet samples ""visible to the naked eye""",2215,11,15.04,31,stardust mission|comets|space|united states|science and technology,wn-0091.spacy
wn-0092,24,565,480,2006-01-11,Stardust lands in Utah successfully,2872,14,20.0,44,stardust mission|utah|comets|space|united states|science and technology,wn-0092.spacy
wn-0093,25,739,646,2006-01-14,Huge star cluster discovered in neighbourhood of Milky Way,3824,9,25.84,61,pennsylvania|the astrophysical journal|space|united states|physics|science and technology|astronomy,wn-0093.spacy
wn-0094,14,389,338,2006-01-19,New Horizons probe bound for Pluto on nine year journey,1932,6,24.14,41,nuclear power|north america|united states|geology|chemistry|pluto|astronomy|charon|kuiper belt|nuclear accidents|new horizons|space|nasa|science and technology,wn-0094.spacy
wn-0095,75,1645,1396,2006-01-27,Bloggers investigate social networking websites,8824,24,18.61,137,myspace|facebook|north america|united states|internet|science and technology,wn-0095.spacy
wn-0096,16,391,344,2006-02-09,George Deutsch resigns NASA post after Texas A&amp;M refutes his resume,2055,6,21.5,34,politics and conflicts|north america|space|united states|nasa|science and technology|george w. bush,wn-0096.spacy
wn-0097,7,145,125,2006-02-18,Japanese H-IIA rocket launches satellite into orbit,748,3,17.86,15,weather|japan|space|aviation|science and technology|asia,wn-0097.spacy
wn-0098,6,187,172,2006-02-21,SpaceX delays Falcon 1 launch again,1020,3,28.67,8,falcon 1|elon musk|north america|california|space|united states|spacex|science and technology,wn-0098.spacy
wn-0099,7,187,156,2006-03-10,Daisuke Enomoto will be the fourth space tourist at the ISS,1010,4,22.29,29,europe|north america|japan|united states|soyuz programme|asia|international space station|russia|space|roscosmos|science and technology,wn-0099.spacy
wn-0100,9,182,160,2006-03-10,Mars Reconnaissance Orbiter enters Martian orbit,1019,4,17.78,26,mars reconnaissance orbiter|jet propulsion laboratory|mars|north america|space|united states|nasa|science and technology,wn-0100.spacy
wn-0101,11,284,245,2006-03-12,NASA spacecraft enters Mars orbit,1453,5,22.27,20,mars|mars reconnaissance orbiter|space|nasa|science and technology,wn-0101.spacy
wn-0102,9,248,213,2006-03-13,Google launches Google Mars,1301,5,23.67,33,google|mars|space|nasa|science and technology,wn-0102.spacy
wn-0103,7,213,187,2006-03-14,Geysers of water on one of Saturn's moons,1146,2,26.71,14,saturn (planet)|extraterrestrial water|space|biology|geology|science and technology|astronomy,wn-0103.spacy
wn-0104,16,405,357,2006-04-10,NASA plans to send probe into Moon's surface,1996,5,22.31,32,the moon|north america|chemistry|space|united states|science and technology,wn-0104.spacy
wn-0105,8,177,153,2006-04-10,Voyager 1 signal received by radio amateurs,885,3,19.12,28,space|science and technology|nuclear technology,wn-0105.spacy
wn-0106,16,385,341,2006-04-29,Shuttle will launch in July: NASA,1855,9,21.31,23,international space station|north america|space|united states|nasa|science and technology,wn-0106.spacy
wn-0107,17,458,395,2006-04-30,London Planetarium closes to make way for celebrity-themed show,2348,6,23.24,41,england|art|europe|visual art|culture and entertainment|space|london,wn-0107.spacy
wn-0108,5,138,123,2006-05-01,First pictures from the Israeli photo/spy satellite Eros B,765,2,24.6,18,politics and conflicts|space|middle east|israel,wn-0108.spacy
wn-0109,12,308,273,2006-05-19,Space shuttle Discovery safely arrives at launch pad,1631,5,22.75,41,international space station|florida|north america|space shuttle discovery|space|united states|science and technology,wn-0109.spacy
wn-0110,165,3260,2813,2006-05-28,Keep your eyes peeled for cosmic debris: Andrew Westphal about Stardust@home,16028,49,17.05,115,stardust mission|stardust@home|comets|space|science and technology,wn-0110.spacy
wn-0111,9,244,214,2006-06-03,Researchers discover giant asteroid impact crater in Antarctica,1280,5,23.78,15,species endangerment|geology|world|antarctica|ohio state university|space|biology|science and technology|dinosaurs,wn-0111.spacy
wn-0112,16,301,254,2006-06-12,Large meteorite strikes in Norway,1487,7,15.88,27,"norway|europe|oslo, norway|space|science and technology",wn-0112.spacy
wn-0113,13,365,319,2006-06-15,Russia launches new civil remote sensing satellite,1993,6,24.54,32,dark matter|europe|international space station|russia|baikonur cosmodrome|space|science and technology|soyuz programme,wn-0113.spacy
wn-0114,9,237,208,2006-06-23,Pluto's moons named,1260,4,23.11,38,hubble space telescope|north america|united states|pluto|astronomy|charon|space|nasa|science and technology,wn-0114.spacy
wn-0115,17,332,289,2006-06-25,Hubble Space Telescope's main camera stops working,1702,8,17.0,29,space|north america|hubble space telescope|united states|nasa|science and technology,wn-0115.spacy
wn-0116,5,137,101,2006-07-01,Discovery going for second launch since 2003 Columbia loss,644,3,20.2,19,north america|space shuttle discovery|space|united states|science and technology,wn-0116.spacy
wn-0117,15,377,322,2006-07-02,"""Armageddon"" rock misses Earth by Moon's distance",1819,10,21.47,48,space|jet propulsion laboratory|earth,wn-0117.spacy
wn-0118,15,359,318,2006-07-04,NASA to launch Discovery despite crack in insulation foam,1814,6,21.2,35,international space station|north america|space shuttle discovery|space|united states|science and technology,wn-0118.spacy
wn-0119,9,190,165,2006-07-04,Space Shuttle Discovery launches for mission STS-121,956,5,18.33,17,north america|space shuttle discovery|space|united states|nasa|science and technology,wn-0119.spacy
wn-0120,17,399,337,2006-07-18,Discovery lands at Kennedy Space Center,1959,12,19.82,29,international space station|north america|space shuttle discovery|space|united states|nasa|science and technology,wn-0120.spacy
wn-0121,8,180,160,2006-07-24,Atlantis departs hangar ahead of August 28 launch,905,4,20.0,20,space shuttle atlantis|north america|space|united states|science and technology,wn-0121.spacy
wn-0122,9,280,246,2006-07-25,Jewel in King Tut's necklace created by possible asteroid impact,1376,5,27.33,23,jewellery|physics|archaeology|space|world|science and technology,wn-0122.spacy
wn-0123,11,287,243,2006-07-30,"Cassini photographs possible lakes on Saturn's moon, Titan",1390,6,22.09,22,europe|titan (moon)|united states|geology|university of arizona|united states geological survey|saturn (planet)|space|science and technology,wn-0123.spacy
wn-0124,20,457,387,2006-08-05,Apollo Moon landings tapes reported missing,2228,12,19.35,34,apollo program|the moon|north america|space|united states|nasa|science and technology,wn-0124.spacy
wn-0125,15,494,439,2006-08-14,Erroneous newspaper report garners publicity for Moon landing tapes,2549,5,29.27,37,australia|the sydney morning herald|north america|united states|oceania|apollo program|space|nasa|the moon,wn-0125.spacy
wn-0126,22,747,629,2006-08-16,Astronomers to vote on potential new planets,3771,7,28.59,59,europe|pluto|astronomy|czech republic|charon|kuiper belt|space|physics|science and technology,wn-0126.spacy
wn-0127,18,369,316,2006-08-18,"Cape Breton, Nova Scotia to have launch pad",1977,9,17.56,42,international space station|space|north america|canada|united states|nasa|nova scotia,wn-0127.spacy
wn-0128,25,516,446,2006-08-21,"NASA chooses Woomera, South Australia for rocket launch site",2695,8,17.84,63,australia|south australia|spacex|oceania|international space station|falcon 1|science and technology|space|elon musk,wn-0128.spacy
wn-0129,12,354,311,2006-08-21,NASA discovers new evidence of dark matter,1927,7,25.92,15,"nasa|hubble space telescope|arizona|north america|united states|dark matter|university of arizona|european southern observatory|very large telescope|the astrophysical journal|tucson, arizona|space|physics|science and technology",wn-0129.spacy
wn-0130,21,543,468,2006-08-22,Scientists discover Earth-like planet,2775,12,22.29,36,princeton university|exoplanets|space|physics|science and technology|astronomy,wn-0130.spacy
wn-0131,23,500,418,2006-08-24,Pluto loses planet status,2550,9,18.17,43,europe|czech republic|prague|charon|space|science and technology|pluto|astronomy,wn-0131.spacy
wn-0132,11,257,229,2006-08-25,NASA announces official search for the missing Apollo tapes,1360,3,20.82,20,australia|the sydney morning herald|north america|united states|oceania|apollo program|space|nasa|the moon,wn-0132.spacy
wn-0133,13,296,256,2006-08-31,Astronomers witness supernova,1527,7,19.69,29,hubble space telescope|nasa|north america|california|united states|astronomy|swift gamma-ray burst mission|space|physics|science and technology,wn-0133.spacy
wn-0134,11,171,143,2006-08-31,Space shuttle Atlantis set to launch on September 6,847,6,13.0,19,space shuttle atlantis|florida|north america|space|united states|science and technology,wn-0134.spacy
wn-0135,15,325,283,2006-09-05,Smart-1 probe ends mission with planned crash into the Moon,1675,4,18.87,19,the times (uk)|europe|european space agency|the moon|chemistry|space|science and technology,wn-0135.spacy
wn-0136,14,300,258,2006-09-07,MySpace to take on iTunes,1501,6,18.43,15,computing|culture and entertainment|music|myspace|california|united states|internet|science and technology,wn-0136.spacy
wn-0137,15,282,241,2006-09-07,NASA delays launch of Atlantis,1316,7,16.07,23,space|space shuttle atlantis|nasa|science and technology,wn-0137.spacy
wn-0138,9,221,206,2006-09-07,STS-115 launch delayed,1145,4,22.89,26,international space station|space shuttle atlantis|north america|united states|nasa|science and technology,wn-0138.spacy
wn-0139,6,137,122,2006-09-09,Successful launch of Space Shuttle Atlantis,773,3,20.33,14,international space station|space shuttle atlantis|north america|space|united states|nasa|science and technology,wn-0139.spacy
wn-0140,19,481,400,2006-09-14,NASA: Arctic Sea's icecap is melting,2243,8,21.05,45,nasa|climate change|jet propulsion laboratory|marine science|world|environment|arctic|physics|science and technology,wn-0140.spacy
wn-0141,23,418,354,2006-09-15,Astronaut Steve MacLean talks with Canadian PM over phone,2014,6,15.39,38,"international space station|ottawa, ontario|canada|north america|stephen harper|space",wn-0141.spacy
wn-0142,10,296,244,2006-09-15,Statistics say websites with user-generated content are the fastest growing,1486,4,24.4,19,myspace|bebo|economy and business|internet|computing,wn-0142.spacy
wn-0143,12,289,242,2006-09-18,Ethane clouds found on Titan,1507,7,20.17,27,arizona|north america|titan (moon)|united states|chemistry|university of arizona|saturn (planet)|space|science and technology,wn-0143.spacy
wn-0144,12,328,298,2006-09-19,Unidentified object contributes to delay of shuttle landing,1789,5,24.83,29,space shuttle atlantis|north america|space|united states|nasa|science and technology,wn-0144.spacy
wn-0145,13,243,206,2006-09-21,Space shuttle Atlantis cleared for landing,1148,6,15.85,11,space|space shuttle atlantis|nasa|science and technology,wn-0145.spacy
wn-0146,11,266,243,2006-10-03,2006 Nobel Prize in physics awarded for microwave map of the universe,1533,5,22.09,20,europe|physics|north america|space|united states|nasa|science and technology|sweden,wn-0146.spacy
wn-0147,22,535,469,2006-10-04,Hubble discovers 16 new planets,2783,5,21.32,44,hubble space telescope|nasa|north america|united states|astronomy|exoplanets|very large telescope|space|physics|science and technology,wn-0147.spacy
wn-0148,6,159,139,2006-10-06,Small hole found in Space Shuttle Atlantis,778,3,23.17,9,space shuttle atlantis|north america|space|united states|orbital debris|science and technology,wn-0148.spacy
wn-0149,30,641,579,2006-10-11,Dark matter lacks extra gravitational force,3428,5,19.3,24,dark matter|new york university|north america|space|united states|physics|science and technology,wn-0149.spacy
wn-0150,32,862,741,2006-10-19,US declares vital interest in space,4496,10,23.16,82,politics and conflicts|the times (uk)|donald rumsfeld|north america|space|united states,wn-0150.spacy
wn-0151,7,223,192,2006-10-29,India successfully tests cryogenic rocket engine,1190,5,27.43,21,india|space|tamil nadu|physics|science and technology|asia,wn-0151.spacy
wn-0152,11,253,223,2006-11-07,No injuries reported after NASA Orbiter hangars evacuated after hydrazine leak,1262,6,20.27,20,florida|disasters and accidents|space|united states|nasa|science and technology,wn-0152.spacy
wn-0153,18,399,357,2006-11-08,Planet Mercury to blaze across Sun today,2031,6,19.83,38,mercury (planet)|physics|space|nasa|science and technology|astronomy,wn-0153.spacy
wn-0154,9,194,174,2006-11-11,Massive hurricane spotted on Saturn,959,4,19.33,16,saturn (planet)|physics|weather|space|nasa|science and technology,wn-0154.spacy
wn-0155,19,357,291,2006-11-16,Two Brampton residents announce 2010 Ontario mayoral intentions,1746,8,15.32,33,"politics and conflicts|wackynews|brampton, ontario|myspace|north america|ontario|canada|internet",wn-0155.spacy
wn-0156,10,226,184,2006-12-02,Stephen Hawking believes going to other planets is necessary for human survival,1081,5,18.4,6,star trek|space|science and technology|stephen hawking,wn-0156.spacy
wn-0157,9,262,228,2006-12-05,NASA unveils plans for moon base,1321,5,25.33,30,mars|north america|the moon|space|united states|nasa|science and technology,wn-0157.spacy
wn-0158,21,633,558,2006-12-07,NASA: Signs of liquid water found on surface of Mars,3472,8,26.57,40,mars|chemistry|extraterrestrial water|space|jet propulsion laboratory|nasa|science and technology,wn-0158.spacy
