event_id,doc_id,sent_id,event_type,trigger_word,agent,agent_key,patient,patient_key,location,time_expr,time_value,time_granularity,time_method,time_confidence,sort_key,dct,negated,confidence,sentence
wn-0001:13:366,wn-0001,13,failure,glitches,,,,,,December,2005-12,month,bare_month,0.75,2005-12-01,2005-01-07,False,0.55,The launch was delayed three times in December due to weather problems and technical glitches.
wn-0001:14:383,wn-0001,14,launch,launch,,,Defense Support Program missile,,,this August,2005-08,month,bare_month,0.75,2005-08-01,2005-01-07,False,0.6,The Delta IV Heavy is scheduled to carry the final Defense Support Program missile launch detection satellite to orbit this August.
wn-0001:14:384,wn-0001,14,discovery,detection,,,Defense Support Program missile launch,,,this August,2005-08,month,bare_month,0.75,2005-08-01,2005-01-07,False,0.6,The Delta IV Heavy is scheduled to carry the final Defense Support Program missile launch detection satellite to orbit this August.
wn-0001:15:405,wn-0001,15,launch,launch,,,,,,December 2005,2005-12,month,month_year,0.95,2005-12-01,2005-01-07,False,0.55,A National Reconnaissance Office classified payload is set to be aboard the second operational launch scheduled for December 2005.
wn-0002:0:1,wn-0002,0,launch,launch,Boeing,ORG:Boeing,,,,"December 21, 2004",2004-12-21,day,month_day_year,0.97,2004-12-21,2005-01-08,False,0.65,"A launch on December 21, 2004 by Boeing with a new ""Delta IV Heavy"" rocket from Cape Canaveral failed to place a 'dummy' satellite into geosynchronous orbit, but the launch was considered successful by Air Force officials."
wn-0002:0:21,wn-0002,0,failure,failed,,,A launch,,,"December 21, 2004",2004-12-21,day,month_day_year,0.97,2004-12-21,2005-01-08,False,0.65,"A launch on December 21, 2004 by Boeing with a new ""Delta IV Heavy"" rocket from Cape Canaveral failed to place a 'dummy' satellite into geosynchronous orbit, but the launch was considered successful by Air Force officials."
wn-0002:0:35,wn-0002,0,launch,launch,,,,,,"December 21, 2004",2004-12-21,day,month_day_year,0.97,2004-12-21,2005-01-08,False,0.55,"A launch on December 21, 2004 by Boeing with a new ""Delta IV Heavy"" rocket from Cape Canaveral failed to place a 'dummy' satellite into geosynchronous orbit, but the launch was considered successful by Air Force officials."
wn-0002:1:59,wn-0002,1,launch,launch,,,Delta IV,SPACECRAFT:Delta IV,,,2005-01-08,day,dct_fallback,0.25,2005-01-08,2005-01-08,False,0.7,"The dummy satellite, the purpose of which was to monitor the Delta IV launch, as well as two experimental nanosatellites, provided by the U.S. Air Force Research Laboratory to take digital photos of cloud formations and to test the effectiveness of materials in spacecraft, were lost."
wn-0002:1:94,wn-0002,1,failure,lost,,,The dummy satellite,,,,2005-01-08,day,dct_fallback,0.25,2005-01-08,2005-01-08,False,0.6,"The dummy satellite, the purpose of which was to monitor the Delta IV launch, as well as two experimental nanosatellites, provided by the U.S. Air Force Research Laboratory to take digital photos of cloud formations and to test the effectiveness of materials in spacecraft, were lost."
wn-0002:2:113,wn-0002,2,failure,malfunction,,,rocket,,,,2005-01-08,day,dct_fallback,0.25,2005-01-08,2005-01-08,False,0.55,"Boeing's Vice President for Expendable Launch Systems, Dan Collins, said that the rocket malfunction was caused by a shorter first stage burn than was expected."
wn-0002:3:136,wn-0002,3,failure,lost,,,the fuel,,,,2005-01-08,day,dct_fallback,0.25,2005-01-08,2005-01-08,False,0.6,"This was compensated for during flight, however the fuel lost in the process limited final stages of the burn and was responsible for the payload not achieving orbit."
wn-0002:4:177,wn-0002,4,launch,launch,,,,,,,2005-01-08,day,dct_fallback,0.25,2005-01-08,2005-01-08,False,0.5,"A Boeing spokesman, Robert Villanueva, agreed that many flight objectives were achieved, but did not call the launch a success."
wn-0002:5:197,wn-0002,5,launch,launch,,,,,,next year,2006,year,relative_unit,0.85,2006-01-01,2005-01-08,False,0.55,"“We do have an outstanding issue we need to work on before our first operational launch next year,” Villanueva said."
wn-0002:7:241,wn-0002,7,launch,launch,,,,,,,2005-01-08,day,dct_fallback,0.25,2005-01-08,2005-01-08,False,0.5,The launch was a demonstration for the Air Force's Evolved Expendable Launch Vehicle (EELV) program.
wn-0002:7:252,wn-0002,7,launch,Launch,,,Expendable,,,,2005-01-08,day,dct_fallback,0.25,2005-01-08,2005-01-08,False,0.55,The launch was a demonstration for the Air Force's Evolved Expendable Launch Vehicle (EELV) program.
wn-0002:8:288,wn-0002,8,launch,launch,,,Defense Support Program,ORG:Defense Support Program,,2005,2005,year,year,0.9,2005-01-01,2005-01-08,False,0.75,"Collins also reported, ""We now have enough information and confidence in the Delta IV Heavy to move forward with preparations for the upcoming Defense Support Program launch in 2005."
wn-0002:12:331,wn-0002,12,launch,lifted off,,,The 23-story rocket,,Cape Canaveral Air Force Station,Dec. 21,2004-12-21,day,month_day,0.85,2004-12-21,2005-01-08,False,0.65,"The 23-story rocket, a heavy-lift variant of the Delta 4 family, lifted off from Cape Canaveral Air Force Station in Florida on Dec. 21 at 4:50 p.m. (2150 GMT)."
wn-0002:13:353,wn-0002,13,launch,launch,,,,,,December,2005-12,month,bare_month,0.75,2005-12-01,2005-01-08,True,0.55,The launch was delayed three times in December due to weather problems and technical glitches.
wn-0002:13:355,wn-0002,13,delay,delayed,,,The launch,,,December,2005-12,month,bare_month,0.75,2005-12-01,2005-01-08,False,0.65,The launch was delayed three times in December due to weather problems and technical glitches.
wn-0002:13:366,wn-0002,13,failure,glitches,,,,,,December,2005-12,month,bare_month,0.75,2005-12-01,2005-01-08,False,0.55,The launch was delayed three times in December due to weather problems and technical glitches.
wn-0002:14:383,wn-0002,14,launch,launch,,,Defense Support Program missile,,,this August,2005-08,month,bare_month,0.75,2005-08-01,2005-01-08,False,0.6,The Delta IV Heavy is scheduled to carry the final Defense Support Program missile launch detection satellite to orbit this August.
wn-0002:14:384,wn-0002,14,discovery,detection,,,Defense Support Program missile launch,,,this August,2005-08,month,bare_month,0.75,2005-08-01,2005-01-08,False,0.6,The Delta IV Heavy is scheduled to carry the final Defense Support Program missile launch detection satellite to orbit this August.
wn-0002:15:405,wn-0002,15,launch,launch,,,,,,December 2005,2005-12,month,month_year,0.95,2005-12-01,2005-01-08,False,0.55,A National Reconnaissance Office classified payload is set to be aboard the second operational launch scheduled for December 2005.
wn-0003:2:65,wn-0003,2,discovery,found,,,a narrow ridge,,,,2005-01-09,day,dct_fallback,0.25,2005-01-09,2005-01-09,False,0.6,"Now a narrow ridge of massive proportions, 20 km high and 1,300 km long, has been found around the equator of the moon."
wn-0003:5:102,wn-0003,5,flyby,fly,Cassini,SPACECRAFT:Cassini,Iapetus,CELESTIAL:Iapetus,,September 2007,2007-09,month,month_year,0.95,2007-09-01,2005-01-09,False,0.9,Cassini will next fly by Iapetus in September 2007.
wn-0003:8:162,wn-0003,8,discovery,discovered,Cassini,SPACECRAFT:Cassini,the moon,,,1672,,vague,no_pattern,0.1,,2005-01-09,False,0.75,Jean-Dominque Cassini discovered the moon in 1672; it was also Cassini who determined the color difference on Iapetus.
wn-0004:0:8,wn-0004,0,failure,crash,,,,,,"January 12, 2005",2005-01-12,day,month_day_year,0.97,2005-01-12,2005-01-09,False,0.55,"A spacecraft designed to chase a comet and crash onto its surface is scheduled for a launch on January 12, 2005 and 1:48 p.m. EST."
wn-0004:0:16,wn-0004,0,launch,launch,,,,,,"January 12, 2005",2005-01-12,day,month_day_year,0.97,2005-01-12,2005-01-09,False,0.55,"A spacecraft designed to chase a comet and crash onto its surface is scheduled for a launch on January 12, 2005 and 1:48 p.m. EST."
wn-0004:3:93,wn-0004,3,failure,crash,,,the comet,,,Twenty-four hours,PT4H,duration,duration,0.8,,2005-01-09,False,0.65,"Twenty-four hours after separation the comet will crash into the slower-moving impactor, creating a crater 100 meters wide."
wn-0004:5:157,wn-0004,5,failure,destroyed,,,that,,,,2005-01-09,day,dct_fallback,0.25,2005-01-09,2005-01-09,True,0.6,"The event will be watched by many instruments: there are two cameras on the part of the probe that is not getting destroyed, a camera on the impactor will broadcast almost until the crash, and telescopes around Earth will also be aimed at the point of the impact."
wn-0004:5:169,wn-0004,5,failure,crash,,,,,,,2005-01-09,day,dct_fallback,0.25,2005-01-09,2005-01-09,False,0.5,"The event will be watched by many instruments: there are two cameras on the part of the probe that is not getting destroyed, a camera on the impactor will broadcast almost until the crash, and telescopes around Earth will also be aimed at the point of the impact."
wn-0004:6:205,wn-0004,6,failure,crash,,,,,,,2005-01-09,day,dct_fallback,0.25,2005-01-09,2005-01-09,False,0.5,Scientists hope that by studying the depth of the crater and the material ejected from the comet in the crash they will get a better idea of the core's composition.
wn-0004:9:269,wn-0004,9,failure,destroy,the goal,,the comet,,,,2005-01-09,day,dct_fallback,0.25,2005-01-09,2005-01-09,False,0.6,"Unlike the movie, however, the goal of this mission is not to destroy the comet."
wn-0004:11:315,wn-0004,11,launch,launched,,,The probe,,Cape Canaveral,,2005-01-09,day,dct_fallback,0.25,2005-01-09,2005-01-09,False,0.6,The probe will be launched aboard a Delta II rocket from Cape Canaveral in Florida.
wn-0005:0:2,wn-0005,0,landing,descent,,,Huygens,SPACECRAFT:Huygens,,,2005-01-13,day,dct_fallback,0.25,2005-01-13,2005-01-13,False,0.7,Huygens probe descent to Titan.
wn-0005:4:61,wn-0005,4,landing,descent,,,its,,,the next 2.5 hours,PT5H,duration,duration,0.8,,2005-01-13,False,0.6,"For the next 2.5 hours, Huygens will slow its descent and begin data transmission from on-board scientific packages to the Cassini Orbiter for relay to Earth."
wn-0005:5:83,wn-0005,5,landing,touch down,,,It,,,approximately 11:30 a.m.,2005-01-13T11:30,time,clock,0.8,2005-01-13T11:30,2005-01-13,False,0.65,It will touch down on the Titan surface at approximately 11:30 a.m.
wn-0005:7:111,wn-0005,7,landing,descent,,,,,,three to 30 minutes,PT30M,duration,duration,0.8,,2005-01-13,False,0.55,"The probe will continue data transmission for three to 30 minutes, providing it survives the descent and landing."
wn-0005:7:113,wn-0005,7,landing,landing,,,,,,three to 30 minutes,PT30M,duration,duration,0.8,,2005-01-13,False,0.55,"The probe will continue data transmission for three to 30 minutes, providing it survives the descent and landing."
wn-0005:8:117,wn-0005,8,launch,launched,NASA,ORG:NASA,Cassini-Huygens,SPACECRAFT:Cassini-Huygens,,"October 15, 1997",1997-10-15,day,month_day_year,0.97,1997-10-15,2005-01-13,False,0.9,"NASA launched Cassini-Huygens, the largest interplanetary space craft ever built, on October 15, 1997."
wn-0005:15:262,wn-0005,15,discovery,discovered,who,,Titan,CELESTIAL:Titan,,1655,,vague,no_pattern,0.1,,2005-01-13,False,0.8,"The probe was named after Dutch astronomer Christiaan Huygens, who discovered Titan in 1655."
wn-0005:16:280,wn-0005,16,discovery,discovered,who,,other moons,,,,2005-01-13,day,dct_fallback,0.25,2005-01-13,2005-01-13,False,0.6,"The Cassini orbiter was named for Jean-Dominique Cassini, who discovered other moons of Saturn and the gap between Saturn's rings known as the Cassini Division."
wn-0006:0:18,wn-0006,0,landing,landed,,,it,,,11:38 a.m.,2005-01-14T11:38,time,clock,0.8,2005-01-14T11:38,2005-01-14,False,0.65,"Huygens, the European built Titan exploration probe, ended its seven-year voyage today when it landed on the surface of the second largest moon in the solar system at 11:38 a.m."
wn-0006:2:60,wn-0006,2,failure,failures,,,,,,17 years ago,1988-01-14,day,offset,0.85,1988-01-14,2005-01-14,False,0.55,"The probe, which the European Space Agency (ESA) began developing 17 years ago, has worked well with only minor system failures."
wn-0006:7:172,wn-0006,7,landing,descent,,,its,,,,2005-01-14,day,dct_fallback,0.25,2005-01-14,2005-01-14,False,0.55,Huygens broadcast data to its Cassini mothership (the US probe which carried Huygens to Titan) throughout its descent and then from the surface.
wn-0006:9:232,wn-0006,9,landing,descent,,,the probe,,,,2005-01-14,day,dct_fallback,0.25,2005-01-14,2005-01-14,False,0.55,"So far, ESA has released least three pictures&amp;mdash;two from the probe's descent through the atmosphere under parachutes and then a picture near the surface."
wn-0007:2:79,wn-0007,2,launch,launch,,,,,,,2005-01-20,day,dct_fallback,0.25,2005-01-20,2005-01-20,False,0.5,"""The spaceship's re-entry module, orbital capsule and propulsion module are being equipped, and preparation work for the launch is in full swing"", said Sun Laiyan, Director of China's National Space Administration."
wn-0007:3:122,wn-0007,3,landing,landed,,,the Shenzhou V spaceship,,,October 2003,2003-10,month,month_year,0.95,2003-10-01,2005-01-20,False,0.65,"China's first manned space mission happened in October 2003, in which the Shenzhou V spaceship circled the Earth fourteen times and landed safely by parachute on the northern plains of China."
wn-0007:5:177,wn-0007,5,landing,land,China,GPE:China,,,Moon,the next few years,,vague,no_pattern,0.1,,2005-01-20,False,0.7,"Within the next few years, China also plans to land on the Moon."
wn-0008:0:7,wn-0008,0,discovery,found,Rover Opportunity,SPACECRAFT:Rover Opportunity,a basketball-sized iron meteorite,,Meridiani Planum,,2005-01-20,day,dct_fallback,0.25,2005-01-20,2005-01-20,False,0.7,"NASA's Mars Exploration Rover Opportunity has found a basketball-sized iron meteorite near heat shield debris at Meridiani Planum, Opportunity's landing location on Mars."
wn-0008:0:24,wn-0008,0,landing,landing,,,,,,,2005-01-20,day,dct_fallback,0.25,2005-01-20,2005-01-20,False,0.5,"NASA's Mars Exploration Rover Opportunity has found a basketball-sized iron meteorite near heat shield debris at Meridiani Planum, Opportunity's landing location on Mars."
wn-0008:1:39,wn-0008,1,discovery,identified,,,any type,,,,2005-01-20,day,dct_fallback,0.25,2005-01-20,2005-01-20,False,0.6,It is the first meteorite of any type ever identified on another planet.
wn-0008:5:130,wn-0008,5,discovery,found,They,,geological evidence,,,,2005-01-20,day,dct_fallback,0.25,2005-01-20,2005-01-20,False,0.6,They have found geological evidence of past wet environmental conditions that might have been hospitable to life.
wn-0009:0:11,wn-0009,0,discovery,detected,the NASA-led Swift satellite mission,,,,,Jan. 17,2005-01-17,day,month_day,0.85,2005-01-17,2005-01-21,False,0.6,"On Jan. 17, the NASA-led Swift satellite mission detected and imaged its first gamma-ray burst, one of the most powerful explosions to occur in the universe."
wn-0009:0:26,wn-0009,0,failure,explosions,,,,,,Jan. 17,2005-01-17,day,month_day,0.85,2005-01-17,2005-01-21,False,0.55,"On Jan. 17, the NASA-led Swift satellite mission detected and imaged its first gamma-ray burst, one of the most powerful explosions to occur in the universe."
wn-0009:1:41,wn-0009,1,failure,exploding,,,,,,less than 200 seconds,PT200S,duration,duration,0.8,,2005-01-21,False,0.6,"The burst was in the midst of exploding as Swift, designed to autonomously repoint itself, turned and focused in less than 200 seconds on the event."
wn-0009:2:88,wn-0009,2,discovery,detected,,,gamma rays,,,,2005-01-21,day,dct_fallback,0.25,2005-01-21,2005-01-21,False,0.6,"The satellite was fast enough to capture an image with its X-Ray Telescope (XRT), while gamma rays were still being detected with the Burst Alert Telescope (BAT)."
wn-0009:8:225,wn-0009,8,discovery,detect,this,,these fleeting gamma-ray bursts,,,about a minute,PT1M,duration,duration,0.8,,2005-01-21,False,0.65,"""And this is what Swift was built to do: to detect these fleeting gamma-ray bursts and focus its telescopes on them autonomously within about a minute."
wn-0009:11:266,wn-0009,11,discovery,detects,BAT,ORG:BAT,bursts,,,,2005-01-21,day,dct_fallback,0.25,2005-01-21,2005-01-21,False,0.7,The BAT detects bursts and initiates the autonomous slewing to bring the XRT and the Ultraviolet/Optical Telescope (UVOT) within focus of the burst.
wn-0009:12:298,wn-0009,12,discovery,detecting,BAT,ORG:BAT,bursts,,,December,2004-12,month,bare_month,0.75,2004-12-01,2005-01-21,False,0.75,"In December, the BAT started detecting bursts, including a remarkable triple detection on Dec. 19."
wn-0009:12:305,wn-0009,12,discovery,detection,,,,,,Dec. 19,2004-12-19,day,month_day,0.85,2004-12-19,2005-01-21,False,0.55,"In December, the BAT started detecting bursts, including a remarkable triple detection on Dec. 19."
wn-0009:13:317,wn-0009,13,discovery,detection,,,BAT,ORG:BAT,,Today,2005-01-21,day,day_word,0.9,2005-01-21,2005-01-21,False,0.75,"Today's announcement marks the first BAT detection autonomously followed by XRT detection, demonstrating the satellite is swiftly slewing as planned."
wn-0009:13:322,wn-0009,13,discovery,detection,,,XRT,ORG:XRT,,Today,2005-01-21,day,day_word,0.9,2005-01-21,2005-01-21,False,0.75,"Today's announcement marks the first BAT detection autonomously followed by XRT detection, demonstrating the satellite is swiftly slewing as planned."
wn-0009:14:350,wn-0009,14,discovery,detected,,,the burst,,,,2005-01-21,day,dct_fallback,0.25,2005-01-21,2005-01-21,False,0.6,"The UVOT is still being tested, and it was not collecting data when the burst was detected."
wn-0009:16:383,wn-0009,16,failure,explosion,,,,,,,2005-01-21,day,dct_fallback,0.25,2005-01-21,2005-01-21,False,0.5,"""We are frantically analyzing the XRT data to understand the X-ray emission seen during the initial explosion and the very early afterglow,"" said Dr. David Burrows, the XRT lead at Penn State."
wn-0009:21:459,wn-0009,21,failure,explosions,,,,,,,2005-01-21,day,dct_fallback,0.25,2005-01-21,2005-01-21,False,0.5,At least some appear to originate in massive star explosions.
wn-0009:26:529,wn-0009,26,failure,explosion,,,,,,,2005-01-21,day,dct_fallback,0.25,2005-01-21,2005-01-21,False,0.5,*Determine how the explosion develops.
wn-0009:29:571,wn-0009,29,launch,launched,,,an international collaboration,,,"Nov. 20, 2004",2004-11-20,day,month_day_year,0.97,2004-11-20,2005-01-21,False,0.65,"Swift, still in its checkout phase, is an international collaboration launched on Nov. 20, 2004."
wn-0010:4:87,wn-0010,4,landing,landing,,,its landing rockets,,,,2005-01-25,day,dct_fallback,0.25,2005-01-25,2005-01-25,False,0.6,"Also visible and labeled on this image are the spacecraft's lander, backshell, parachute and heat shield, plus effects of its landing rockets."
wn-0010:5:107,wn-0010,5,discovery,observation,,,,,,,2005-01-25,day,dct_fallback,0.25,2005-01-25,2005-01-25,False,0.5,The camera captured this image with use of a technique called compensated pitch and roll targeted observation.
wn-0013:10:326,wn-0013,10,failure,failure,,,,,,,2005-01-26,day,dct_fallback,0.25,2005-01-26,2005-01-26,False,0.5,The anonymous U.S. official told Reuters the estimated cost of a robotic repair was $2 billion and one feasibility study gave it an 80 percent chance of failure .
wn-0013:12:380,wn-0013,12,failure,fail,it,,that,,,,2005-01-26,day,dct_fallback,0.25,2005-01-26,2005-01-26,False,0.6,"""Trying to send a robotic mission to extend that time period would be a $2 billion gamble with taxpayer dollars where the odds are 80-20 that it would fail."
wn-0013:17:465,wn-0013,17,launch,launch,,,its,,,1990,1990,year,year,0.9,1990-01-01,2005-01-26,False,0.6,"Since its launch in 1990, the Hubble Telescope's state of the art technology has dramatically changed our understanding of the universe and produced thousands of extraordinary discoveries ."""
wn-0013:17:491,wn-0013,17,discovery,discoveries,,,,,,1990,1990,year,year,0.9,1990-01-01,2005-01-26,False,0.55,"Since its launch in 1990, the Hubble Telescope's state of the art technology has dramatically changed our understanding of the universe and produced thousands of extraordinary discoveries ."""
wn-0014:0:10,wn-0014,0,launch,launch,,,its,,,last November,2004-11,month,bare_month,0.75,2004-11-01,2005-02-02,False,0.6,"NASA's Swift satellite has completed all tests since its launch last November and with the Ultravioliet/Optical Telescope (UVOT) now on line, is now fully functional for the mission's 2 year quest for gamma-ray bursts."
wn-0014:4:126,wn-0014,4,discovery,observation,,,first-light,,,,2005-02-02,day,dct_fallback,0.25,2005-02-02,2005-02-02,False,0.55,"But more than a pretty image, this first-light observation is a test of the UVOT's capabilities."
wn-0014:6:148,wn-0014,6,discovery,observed,,,the most powerful objects,,Universe,,2005-02-02,day,dct_fallback,0.25,2005-02-02,2005-02-02,False,0.6,Gamma ray bursts are some of the most powerful objects observed in the Universe and are thought to signal the birth of black holes.
wn-0014:7:168,wn-0014,7,discovery,detect,Swift,SPACECRAFT:Swift,the bursts,,,,2005-02-02,day,dct_fallback,0.25,2005-02-02,2005-02-02,False,0.7,Swift is designed to detect the bursts and automatically re-orient itself to gather images and data of the phenomenon.
wn-0014:8:187,wn-0014,8,discovery,detected,Swift,SPACECRAFT:Swift,,,,"January 17, 2005",2005-01-17,day,month_day_year,0.97,2005-01-17,2005-02-02,False,0.7,"Swift detected and imaged its first official burst on January 17, 2005, before the UVOT was operational with the aid of the Burst Alert (BAT) and X-ray (XRT) telescopes activated several weeks earlier."
wn-0014:9:230,wn-0014,9,discovery,detects,BAT,ORG:BAT,the gamma-ray bursts,,,,2005-02-02,day,dct_fallback,0.25,2005-02-02,2005-02-02,False,0.7,"The BAT detects the gamma-ray bursts, automatically and immediately turns the telescope, bringing the XRT and UVOT to bear on the location of the event which record detailed observations of the burst afterglow."
wn-0014:9:260,wn-0014,9,discovery,observations,,,the burst afterglow,,,,2005-02-02,day,dct_fallback,0.25,2005-02-02,2005-02-02,False,0.55,"The BAT detects the gamma-ray bursts, automatically and immediately turns the telescope, bringing the XRT and UVOT to bear on the location of the event which record detailed observations of the burst afterglow."
wn-0015:0:11,wn-0015,0,discovery,found,Scientists,,strong evidence,,,,2005-02-04,day,dct_fallback,0.25,2005-02-04,2005-02-04,False,0.6,Scientists studying data from the Chandra X-ray telescope have found strong evidence for the missing half of ordinary matter in the universe.
wn-0015:3:106,wn-0015,3,discovery,found,we,,the likely hiding place,,,,2005-02-04,day,dct_fallback,0.25,2005-02-04,2005-02-04,False,0.6,"""Now we have found the likely hiding place of the missing baryons."""
wn-0015:8:245,wn-0015,8,discovery,detected,,,Evidence,,,,2005-02-04,day,dct_fallback,0.25,2005-02-04,2005-02-04,False,0.6,"Evidence of the clouds had been previously detected around our own galaxy and in the Local Group, but the temperature range (a few hundred thousand to a million degrees Celsius) and low density have prevented detection outside the immediate neighborhood of galaxies and the reliable estimation of baryon density for the entire universe."
wn-0015:8:276,wn-0015,8,discovery,detection,,,,,,,2005-02-04,day,dct_fallback,0.25,2005-02-04,2005-02-04,False,0.5,"Evidence of the clouds had been previously detected around our own galaxy and in the Local Group, but the temperature range (a few hundred thousand to a million degrees Celsius) and low density have prevented detection outside the immediate neighborhood of galaxies and the reliable estimation of baryon density for the entire universe."
wn-0015:9:299,wn-0015,9,discovery,detected,,,The clouds,,,,2005-02-04,day,dct_fallback,0.25,2005-02-04,2005-02-04,False,0.6,The clouds were detected using Chandra observations when the galaxy Mkn 421 brightened in X-ray emissions.
wn-0015:9:302,wn-0015,9,discovery,observations,,,Chandra,GPE:Chandra,,,2005-02-04,day,dct_fallback,0.25,2005-02-04,2005-02-04,False,0.7,The clouds were detected using Chandra observations when the galaxy Mkn 421 brightened in X-ray emissions.
wn-0015:13:413,wn-0015,13,discovery,finding,Nicastro,GPE:Nicastro,,,,,2005-02-04,day,dct_fallback,0.25,2005-02-04,2005-02-04,False,0.65,"Assuming that the size and distribution of the clouds are representative, Nicastro and colleagues made the first reliable estimate of average density of baryons in such clouds throughout the Universe, finding it consistent with the mass density of the missing baryons."
